lat,lon,heading,roll,Ve,Vn,R1,R2,aw_e,aw_n,aw_h,alfa,betta,gamma,accE,accN,accH,w_x,w_y,w_z,n_x,n_y,n_z,dot_omega_h
0.96201330856138134,0.64782435885638578,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390626.1193930218,6398360.7718797149,4.6274664920602225E-05,2.6125696261618644E-05,3.7488344192677009E-05,0.0015733991822443202,0.0013305047631510577,-0.00310969006088593,-0.047636993825038484,0.025803829830417145,-9.82015621868985,0.0001325964347658691,9.7242056936227341E-05,6.9120279716081679E-06,0.35836372073773382,-9.8153639198180276,-0.054167925344766596,-5.2181208643203967E-11
0.9620595833676977,0.647870043717764,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390617.2053793184,6398350.720755253,4.627480631638505E-05,2.6125780635447714E-05,3.7492101032186333E-05,0.0015733923057038527,0.001338501440096915,-0.0030981752773738451,-0.047639188854416564,0.025804994598788347,-9.8201575710452413,0.00013259089124640784,9.7247740222830174E-05,6.913471307366242E-06,0.35836609251853063,-9.8153652715134623,-0.05417040938627328,-5.219315654913834E-11
0.96210585831541151,0.64791573175955186,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390608.2912583,6398340.6695948737,4.6274947713808754E-05,2.6125865009968362E-05,3.7495858385990176E-05,0.0015725082204433752,0.0013452313277543661,-0.0030856853341495066,-0.047641383961592884,0.025806159419277719,-9.8201589233034134,0.00013258534752062602,9.725342390137136E-05,6.9149146923027711E-06,0.35836846440052683,-9.8153666231117231,-0.054172893521153606,-5.2205105954762913E-11
0.96215213340452443,0.64796142298227988,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390599.3770299638,6398330.6183985779,4.6275089112873351E-05,2.6125949385180593E-05,3.7499616254209292E-05,0.0015725049962599623,0.0013535967805350258,-0.0030736362899312446,-0.0476435791466002,0.025807324291906485,-9.820160275464346,0.00013257980358853,9.72591079719664E-05,6.9163581264152887E-06,0.35837083638376432,-9.8153679746127924,-0.0541753777494465,-5.2217056860384685E-11
0.962198408635038,0.64800711738647876,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390590.4626943022,6398320.567166361,4.6275230513578942E-05,2.612603376108444E-05,3.75033746369645E-05,0.0015725036078983177,0.0013621501626103448,-0.0030613148338657068,-0.047645774409471243,0.025808489216695873,-9.820161627528023,0.00013257425945012631,9.7264792434730786E-05,6.91780160970141E-06,0.35837320846828508,-9.8153693260166541,-0.054177862071190915,-5.2229009266310663E-11
0.962244684006954,0.64805281497267941,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390581.5482513132,6398310.515898224,4.627537191592556E-05,2.6126118137679903E-05,3.7507133534376616E-05,0.0015725040736272063,0.0013708939647421405,-0.0030487173573588988,-0.047647969750238772,0.025809654193667118,-9.8201629794944214,0.00013256871510542134,9.7270477289780055E-05,6.9192451421586876E-06,0.35837558065413078,-9.8153706773232834,-0.054180346486425807,-5.2240963172848E-11
0.96229095952027388,0.64809851574141286,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390572.633700992,6398300.4645941649,4.6275513319913248E-05,2.6126202514966988E-05,3.7510892946566507E-05,0.0015725064072095083,0.0013798306116467145,-0.0030358402949159152,-0.047650165168935554,0.025810819222841463,-9.8201643313635341,0.00013256317055442148,9.727616253722975E-05,6.9206887237847035E-06,0.35837795294134372,-9.8153720285326767,-0.054182830995190175,-5.2252918580303936E-11
0.96233723517499947,0.64814421969321023,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390563.7190433312,6398290.4132541819,4.6275654725542092E-05,2.6126286892945727E-05,3.7514652873655095E-05,0.0015725106228398564,0.0013889625277924973,-0.003022680079997717,-0.047652360665594369,0.025811984304240147,-9.8201656831353343,0.00013255762579713327,9.7281848177195571E-05,6.922132354577045E-06,0.35838032532996555,-9.8153733796448037,-0.054185315597522994,-5.2264875488985834E-11
0.96238351097113228,0.64818992682860277,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390554.80427833,6398280.361878274,4.6275796132812121E-05,2.6126371271616119E-05,3.7518413315763324E-05,0.0015730807865710545,0.0013993951428563367,-0.00300861496177697,-0.04765455624024801,0.02581314943788442,-9.8201670348098045,0.00013255208083356304,9.7287534209793093E-05,6.9235760345332726E-06,0.35838269782003829,-9.8153747306596468,-0.054187800293463276,-5.2276833899201167E-11
0.962429786908674,0.64823563714812182,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390545.88940598,6398270.3104664376,4.6275937541723421E-05,2.6126455650978198E-05,3.7522174273012177E-05,0.0015730888028961955,0.001408924877355453,-0.002994877774423383,-0.047656751892929269,0.025814314623795555,-9.8201683863869338,0.00013254653566371734,9.7293220635138054E-05,6.9250197636509673E-06,0.358385070411604,-9.8153760815771989,-0.054190285083050023,-5.2288793811257362E-11
0.96247606298762622,0.64828135065229886,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390536.974426277,6398260.2590186736,4.6276078952276027E-05,2.6126540031031961E-05,3.7525935745522664E-05,0.0015730987557753381,0.0014186571457596487,-0.0029808466921592931,-0.047658947623670969,0.025815479861994808,-9.820169737866701,0.00013254099028760246,9.7298907453346166E-05,6.9264635419277233E-06,0.35838744310470466,-9.815377432397435,-0.054192769966322274,-5.2300755225462131E-11
0.96252233920799068,0.64832706734166545,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390528.0593392169,6398250.2075349782,4.6276220364470007E-05,2.6126624411777434E-05,3.7529697733415877E-05,0.0015731106535424653,0.0014285943800467504,-0.0029665181790811297,-0.04766114343250593,0.025816645152503447,-9.8201710892490848,0.00013253544470522501,9.73045946645332E-05,6.9279073693610877E-06,0.35838981589938207,-9.8153787831203356,-0.054195254943319074,-5.2312718142123216E-11
0.962568615569769,0.6483727872167534,0.51448502774942639,0,167.22779835221121,295.84128162537939,6390519.1441447958,6398240.1560153514,4.6276361778305415E-05,2.6126708793214626E-05,3.7533460236812875E-05,0.0015731245126548094,0.0014387390045035565,-0.0029518886619298167,-0.047663339319466994,0.025817810495342753,-9.8201724405340727,0.0001325298989165913,9.7310282268814972E-05,6.929351245948655E-06,0.35839218879567847,-9.8153801337458884,-0.054197740014079482,-5.2324682561548414E-11
