0|name_eng|1|city_eng|2|country_eng|3|latitude|4|longitude|5|runway_elevation
Antrim County|Antrim County|Bellaire|Bellaire|United States|United States|44.988576|44.988576|-85.198355|-85.198355|190|190
Kotoka|Kotoka|Accra|Accra|Ghana|Ghana|5.605186|5.605186|-0.166786|-0.166786|62|62
Acandi|Acandi|Acandi|Acandi|Colombia|Colombia|8.500|8.500|-73.633|-73.633|15|15
Lanzarote|Lanzarote|Arrecife|Arrecife|Spain|Spain|28.945464|28.945464|-13.605225|-13.605225|14|14
Altenrhein|Altenrhein|Altenrhein|Altenrhein|Switzerland|Switzerland|47.485033|47.485033|9.560775|9.560775|398|398
The Blaye|The Blaye|Alderney|Alderney|United Kingdom|United Kingdom|49.706111|49.706111|-2.214722|-2.214722|88|88
Anuradhapura|Anuradhapura|Anuradhapura|Anuradhapura|Sri Lanka|Sri Lanka|32.110799|32.110799|-84.188848|-84.188848|143|143
Nantucket Memorial|Nantucket Memorial|Nantucket|Nantucket|United States|United States|41.253111|41.253111|-70.060306|-70.060306|14|14
Aguaclara|Aguaclara|Aguaclara|Aguaclara|Colombia|Colombia|4.749|4.749|-72.994|-72.994|315|315
Arica|Arica|Arica|Arica|Colombia|Colombia|-2.133|-2.133|-71.783|-71.783||
International|International|Ciudad Acuna|Ciudad Acuna|Mexico|Mexico|29.333917|29.333917|-101.100892|-101.100892|430|430
Ascona|Ascona|Ascona|Ascona|Switzerland|Switzerland|46.157778|46.157778|8.781944|8.781944|200|200
Sahand|Sahand|Sahand|Sahand|Iran|Iran|37.348017|37.348017|46.127903|46.127903|1340|1340
Araracuara|Araracuara|Araracuara|Araracuara|Colombia|Colombia|-0.601111|-0.601111|-72.397778|-72.397778|381|381
Achinsk|Achinsk|Achinsk|Achinsk|Russian Federation|Russian Federation|56.268333|56.268333|90.570833|90.570833|315|315
Municipal|Municipal|Waco|Waco|United States|United States|31.611700|31.611700|-97.230284|-97.230284|157|157
Achutupo|Achutupo|Achutupo|Achutupo|Panama|Panama|9.183|9.183|-78.017|-78.017|11|11
Arcata|Arcata|Arcata|Arcata|United States|United States|40.978111|40.978111|-124.108611|-124.108611|67|67
Xingyi|Xingyi|Xingyi|Xingyi|China|China|25.155|25.155|104.971|104.971||
