0|name_eng|1|city_eng|2|country_eng|3|latitude|4|longitude|5|runway_elevation
Machrihanish|Machrihanish|Campbeltown|Campbeltown|United Kingdom|United Kingdom|55.437222|55.437222|-5.686389|-5.686389|13|13
Camiri|Camiri|Camiri|Camiri|Bolivia|Bolivia|-20.006111|-20.006111|-63.527778|-63.527778|797|797
New Baiyun|New Baiyun|Guangzhou|Guangzhou|China|China|23.392436|23.392436|113.298786|113.298786|15|15
Clayton|Clayton|Clayton|Clayton|United States|United States|36.446152|36.446152|-103.149969|-103.149969|1513|1513
Cap Haitien|Cap Haitien|Cap Haitien|Cap Haitien|Haiti|Haiti|19.732989|19.732989|-72.194739|-72.194739|3|3
Caucasia|Caucasia|Caucasia|Caucasia|Colombia|Colombia|7.968469|7.968469|-75.198461|-75.198461|53|53
Municipal|Municipal|Caribou|Caribou|United States|United States|46.871500|46.871500|-68.017917|-68.017917|191|191
Anfa|Anfa|Casablanca|Casablanca|Morocco|Morocco|33.556981|33.556981|-7.660492|-7.660492|62|62
New Bight|New Bight|Cat Island|Cat Island|Bahamas|Bahamas|24.315292|24.315292|-75.452331|-75.452331|2|2
Caruaru|Caruaru|Caruaru|Caruaru|Brazil|Brazil|-8.282392|-8.282392|-36.013503|-36.013503|576|576
Cazombo|Cazombo|Cazombo|Cazombo|Angola|Angola|-11.893056|-11.893056|22.916389|22.916389|1128|1128
Bartolomeu Lisandro|Bartolomeu Lisandro|Campos|Campos|Brazil|Brazil|-21.698333|-21.698333|-41.301669|-41.301669|17|17
Carlisle|Carlisle|Carlisle|Carlisle|United Kingdom|United Kingdom|54.937500|54.937500|-2.809167|-2.809167|58|58
Rochambeau|Rochambeau|Cayenne|Cayenne|French Guiana|French Guiana|4.819722|4.819722|-52.361944|-52.361944|8|8
Cobar|Cobar|Cobar|Cobar|Australia|Australia|-31.538333|-31.538333|145.793889|145.793889|221|221
Corner Bay|Corner Bay|Corner Bay|Corner Bay|United States|United States|57.716666666667|57.716666666667|-135.2|-135.2||
J Wilsterman|J Wilsterman|Cochabamba|Cochabamba|Bolivia|Bolivia|-17.421058|-17.421058|-66.177114|-66.177114|2548|2548
Cherrabun|Cherrabun|Cherrabun|Cherrabun|Australia|Australia|-18.917|-18.917|125.550|125.550|152|152
Car Nicobar|Car Nicobar|Car Nicobar|Car Nicobar|India|India|9.152508|9.152508|92.819628|92.819628|2|2
Wiley Ford|Wiley Ford|Cumberland|Cumberland|United States|United States|39.615250|39.615250|-78.761889|-78.761889|236|236
Municipal|Municipal|Council Bluffs|Council Bluffs|United States|United States|41.260120|41.260120|-95.758653|-95.758653|382|382
Cambridge|Cambridge|Cambridge|Cambridge|United Kingdom|United Kingdom|52.205000|52.205000|0.175000|0.175000|14|14
Leger|Leger|Bechar|Bechar|Algeria|Algeria|31.650569|31.650569|-2.253153|-2.253153|811|811
Cape Barren Island|Cape Barren Island|Cape Barren Island|Cape Barren Island|Australia|Australia|-40.389722|-40.389722|148.015833|148.015833|50|50
Cabo Rojo|Cabo Rojo|Cabo Rojo|Cabo Rojo|Dominican Republic|Dominican Republic|17.928981|17.928981|-71.644769|-71.644769|80|80
Municipal|Municipal|Colby|Colby|United States|United States|39.427444|39.427444|-101.046611|-101.046611|971|971
Ciudad Bolivar|Ciudad Bolivar|Ciudad Bolivar|Ciudad Bolivar|Venezuela|Venezuela|8.121898|8.121898|-63.537353|-63.537353|60|60
Columbus AFB|Columbus AFB|Columbus|Columbus|United States|United States|33.645166|33.645166|-88.445924|-88.445924|67|67
Penggung|Penggung|Cirebon|Cirebon|Indonesia|Indonesia|-6.756144|-6.756144|108.539672|108.539672|27|27
Awang|Awang|Cotabato|Cotabato|Philippines|Philippines|7.165242|7.165242|124.209619|124.209619|58|58
Coimbra|Coimbra|Coimbra|Coimbra|Portugal|Portugal|40.157223|40.157223|-8.470000|-8.470000|179|179
Calabar|Calabar|Calabar|Calabar|Nigeria|Nigeria|4.976019|4.976019|8.347196|8.347196|64|64
Canberra|Canberra|Canberra|Canberra|Australia|Australia|-35.306944|-35.306944|149.195000|149.195000|575|575
Oro Negro|Oro Negro|Cabimas|Cabimas|Venezuela|Venezuela|10.330069|10.330069|-71.322528|-71.322528|50|50
Catumbela|Catumbela|Catumbela|Catumbela|Angola|Angola|-12.479167|-12.479167|13.486944|13.486944||
Cottbus|Cottbus|Cottbus|Cottbus|Germany|Germany|51.889475|51.889475|14.531986|14.531986|84|84
Coban|Coban|Coban|Coban|Guatemala|Guatemala|15.468958|15.468958|-90.406742|-90.406742|1323|1323
Campo Mourao|Campo Mourao|Campo Mourao|Campo Mourao|Brazil|Brazil|-24.009222|-24.009222|-52.356781|-52.356781|565|565
Condobolin|Condobolin|Condobolin|Condobolin|Australia|Australia|-33.064444|-33.064444|147.209167|147.209167|198|198
Canobie|Canobie|Canobie|Canobie|Australia|Australia|-19.478889|-19.478889|140.927222|140.927222|61|61
Cabin Creek|Cabin Creek|Cabin Creek|Cabin Creek|United States|United States|55.383333333333|55.383333333333|-132.41666666667|-132.41666666667||
Chaffee AFB|Chaffee AFB|Fort Chaffee|Fort Chaffee|Haiti|Haiti|35.597769|35.597769|-92.451617|-92.451617|157|157
Cable Airport|Cable Airport|Upland, CA|Upland, CA|United States|United States|34.111611|34.111611|-117.687389|-117.687389|440|440
Cayo Coco|Cayo Coco|Cayo Coco|Cayo Coco|Cuba|Cuba|22.513228|22.513228|-78.510972|-78.510972|2|2
Century City|Century City|Los Angeles|Los Angeles|United States|United States|34.060843|34.060843|-118.417579|-118.417579|144|144
Grand Case|Grand Case|St Martin|St Martin|Guadeloupe|Guadeloupe|18.100556|18.100556|-63.048889|-63.048889|7|7
Salvaza|Salvaza|Carcassonne|Carcassonne|France|France|43.215817|43.215817|2.308544|2.308544|132|132
Crane County Arpt|Crane County Arpt|Crane|Crane|United States|United States|31.415139|31.415139|-102.362920|-102.362920|778|778
Chile Chico|Chile Chico|Chile Chico|Chile Chico|Chile|Chile|-46.583341|-46.583341|-71.687405|-71.687405|326|326
Concordia|Concordia|Concordia|Concordia|Brazil|Brazil|-27.180611|-27.180611|-52.052722|-52.052722|750|750
Kozhikode Airport|Kozhikode Airport|Kozhikode|Kozhikode|India|India|11.136839|11.136839|75.955300|75.955300|104|104
Cocos Islands|Cocos Islands|Cocos Islands|Cocos Islands|Cocos (Keeling) Islands|Cocos (Keeling) Islands|-12.188333|-12.188333|96.833889|96.833889|3|3
Chinchilla|Chinchilla|Chinchilla|Chinchilla|Australia|Australia|-26.775000|-26.775000|150.616667|150.616667|313|313
Criciuma|Criciuma|Criciuma|Criciuma|Brazil|Brazil|-28.725817|-28.725817|-49.424739|-49.424739|28|28
Chakcharan|Chakcharan|Chakcharan|Chakcharan|Afghanistan|Afghanistan|34.526669|34.526669|65.271666|65.271666|2250|2250
Carimagua|Carimagua|Carimagua|Carimagua|Colombia|Colombia|4.564167|4.564167|-71.336389|-71.336389|213|213
Carriel Sur|Carriel Sur|Concepcion|Concepcion|Chile|Chile|-36.772650|-36.772650|-73.063106|-73.063106|8|8
Cachoeira|Cachoeira|Cachoeira|Cachoeira|Brazil|Brazil|-12.600|-12.600|-38.967|-38.967||
Buchanan Fld|Buchanan Fld|Concord|Concord|United States|United States|37.989667|37.989667|-122.056889|-122.056889|8|8
Simon Bolivar International Airport|Simon Bolivar International Airport|Caracas|Caracas|Venezuela|Venezuela|10.603117|10.603117|-66.990583|-66.990583|72|72
Colonia Catriel|Colonia Catriel|Colonia Catriel|Colonia Catriel|Argentina|Argentina|-37.910183|-37.910183|-67.834969|-67.834969|313|313
Netaji Subhas Chandra|Netaji Subhas Chandra|Kolkata|Kolkata|India|India|22.654739|22.654739|88.446722|88.446722|5|5
Craig Cove|Craig Cove|Craig Cove|Craig Cove|Vanuatu|Vanuatu|-16.265000|-16.265000|167.924444|167.924444|21|21
Cowell|Cowell|Cowell|Cowell|Australia|Australia|-33.667222|-33.667222|136.891111|136.891111|38|38
Caceres|Caceres|Caceres|Caceres|Brazil|Brazil|-16.043555|-16.043555|-57.629928|-57.629928|151|151
Municipal|Municipal|Charles City|Charles City|United States|United States|43.072609|43.072609|-92.610778|-92.610778|343|343
Chub Cay|Chub Cay|Chub Cay|Chub Cay|Bahamas|Bahamas|25.417108|25.417108|-77.880850|-77.880850|2|2
Cooinda|Cooinda|Cooinda|Cooinda|Australia|Australia|-12.903889|-12.903889|132.532778|132.532778|13|13
Cold Bay|Cold Bay|Cold Bay|Cold Bay|United States|United States|55.205150|55.205150|-162.724466|-162.724466|31|31
Cedar City|Cedar City|Cedar City|Cedar City|United States|United States|37.700966|37.700966|-113.098846|-113.098846|1714|1714
Cauquira|Cauquira|Cauquira|Cauquira|Honduras|Honduras|15.317|15.317|-83.583|-83.583||
Caledonia|Caledonia|Caledonia|Caledonia|Panama|Panama|56.002113|56.002113|-134.135338|-134.135338|10|10
Charles De Gaulle|Charles De Gaulle|Paris|Paris|France|France|49.009722|49.009722|2.547778|2.547778|119|119
Harrell Fld|Harrell Fld|Camden|Camden|United States|United States|33.622806|33.622806|-92.763389|-92.763389|40|40
Cachoeiro Itapemirim|Cachoeiro Itapemirim|Cachoeiro Itapemirim|Cachoeiro Itapemirim|Brazil|Brazil|28.037583|28.037583|-115.189572|-115.189572|30|30
Conceicao Do Araguaia|Conceicao Do Araguaia|Conceicao Do Araguaia|Conceicao Do Araguaia|Brazil|Brazil|-8.348347|-8.348347|-49.301528|-49.301528|199|199
Lewis|Lewis|Cedar Key|Cedar Key|United States|United States|29.134222|29.134222|-83.050472|-83.050472|3|3
Candle|Candle|Candle|Candle|United States|United States|65.907658|65.907658|-161.926306|-161.926306|5|5
Woodward Fld|Woodward Fld|Camden|Camden|United States|United States|34.283583|34.283583|-80.564861|-80.564861|92|92
Cradock|Cradock|Cradock|Cradock|South Africa|South Africa|-32.155555|-32.155555|25.645833|25.645833|948|948
Cuddapah|Cuddapah|Cuddapah|Cuddapah|India|India|14.509961|14.509961|78.772833|78.772833|131|131
Croydon|Croydon|Croydon|Croydon|Australia|Australia|-18.218|-18.218|142.254|142.254|107|107
Chadron|Chadron|Chadron|Chadron|United States|United States|42.837556|42.837556|-103.095389|-103.095389|1005|1005
Childress|Childress|Childress|Childress|United States|United States|34.433778|34.433778|-100.288000|-100.288000|596|596
Camden|Camden|Camden|Camden|Australia|Australia|-34.040278|-34.040278|150.687222|150.687222|70|70
Mudhole Smith|Mudhole Smith|Cordova|Cordova|United States|United States|60.491778|60.491778|-145.477556|-145.477556|16|16
Caldwell Wright|Caldwell Wright|Caldwell, NJ|Caldwell, NJ|United States|United States|40.875223|40.875223|-74.281357|-74.281357|53|53
Cagayan De Sulu|Cagayan De Sulu|Cagayan De Sulu|Cagayan De Sulu|Philippines|Philippines|7.014|7.014|118.496|118.496|30|30
Cadiz|Cadiz|Cadiz|Cadiz|Spain|Spain|36.533611111111|36.533611111111|-6.2994444444444|-6.2994444444444||
Cessna Aircraft Field|Cessna Aircraft Field|Wichita|Wichita|United States|United States|37.648598|37.648598|-97.250599|-97.250599|420|420
Mactan-Cebu International|Mactan-Cebu International|Cebu|Cebu|Philippines|Philippines|10.307542|10.307542|123.979439|123.979439|9|9
Mc Namara Fld|Mc Namara Fld|Crescent City|Crescent City|United States|United States|41.780167|41.780167|-124.236528|-124.236528|19|19
Ceduna|Ceduna|Ceduna|Ceduna|Australia|Australia|-32.130556|-32.130556|133.709722|133.709722|23|23
Cherepovets|Cherepovets|Cherepovets|Cherepovets|Russian Federation|Russian Federation|59.273611|59.273611|38.015833|38.015833|115|115
Westover Metro Arpt|Westover Metro Arpt|Springfield|Springfield|United States|United States|42.194014|42.194014|-72.534783|-72.534783|73|73
Chester|Chester|Chester|Chester|United Kingdom|United Kingdom|53.178056|53.178056|-2.977778|-2.977778|14|14
Chelinda|Chelinda|Chelinda|Chelinda|Malawi|Malawi|-10.583333333333|-10.583333333333|33.8|33.8||
Chiang Rai|Chiang Rai|Chiang Rai|Chiang Rai|Thailand|Thailand|19.952342|19.952342|99.882928|99.882928|390|390
Chernigov|Chernigov|Chernigov|Chernigov|Ukraine|Ukraine|51.500|51.500|31.300|31.300||
Chelyabinsk|Chelyabinsk|Chelyabinsk|Chelyabinsk|Russian Federation|Russian Federation|55.305836|55.305836|61.503333|61.503333|234|234
Cape Eleuthera|Cape Eleuthera|Cape Eleuthera|Cape Eleuthera|Bahamas|Bahamas|24.958333333333|24.958333333333|-76.45|-76.45|3|3
Central|Central|Central|Central|United States|United States|65.573944|65.573944|-144.780889|-144.780889|286|286
Ciudad Obregon|Ciudad Obregon|Ciudad Obregon|Ciudad Obregon|Mexico|Mexico|27.392639|27.392639|-109.833111|-109.833111|62|62
Waco Kungo|Waco Kungo|Waco Kungo|Waco Kungo|Angola|Angola|-11.426389|-11.426389|15.101389|15.101389|1318|1318
Concepcion|Concepcion|Concepcion|Concepcion|Bolivia|Bolivia|-16.143056|-16.143056|-62.026111|-62.026111|494|494
Mandelieu|Mandelieu|Cannes|Cannes|France|France|43.546389|43.546389|6.954167|6.954167|4|4
Maupertus|Maupertus|Cherbourg|Cherbourg|France|France|49.650833|49.650833|-1.475278|-1.475278|140|140
Cessnock|Cessnock|Cessnock|Cessnock|Australia|Australia|-32.787500|-32.787500|151.341667|151.341667|64|64
Le Pontreau|Le Pontreau|Cholet|Cholet|France|France|47.081906|47.081906|-0.877217|-0.877217|135|135
Oconee County|Oconee County|Clemson|Clemson|United States|United States|34.671917|34.671917|-82.886806|-82.886806|272|272
Mettle Field|Mettle Field|Connersville|Connersville|United States|United States|39.698494|39.698494|-85.129697|-85.129697|264|264
Bob Sikes|Bob Sikes|Crestview|Crestview|United States|United States|30.778833|30.778833|-86.522111|-86.522111|65|65
Chena Hot Springs|Chena Hot Springs|Chena Hot Springs|Chena Hot Springs|United States|United States|65.051826|65.051826|-146.047432|-146.047432|364|364
Calloway County|Calloway County|Murray|Murray|United States|United States|36.664583|36.664583|-88.372778|-88.372778|176|176
Montezuma County|Montezuma County|Cortez|Cortez|United States|United States|37.303000|37.303000|-108.628056|-108.628056|1804|1804
Coffee Point|Coffee Point|Coffee Point|Coffee Point|United States|United States|58.230555555556|58.230555555556|-157.5|-157.5||
Cabo Frio|Cabo Frio|Cabo Frio|Cabo Frio|Brazil|Brazil|-22.921681|-22.921681|-42.074269|-42.074269|4|4
Cacador|Cacador|Cacador|Cacador|Brazil|Brazil|-26.783333333333|-26.783333333333|-51|-51||
Coulter Field|Coulter Field|Bryan|Bryan|Jamaica|Jamaica|30.715694|30.715694|-96.331361|-96.331361|112|112
Aulnat|Aulnat|Clermont-Ferrand|Clermont-Ferrand|France|France|45.785833|45.785833|3.162500|3.162500|332|332
Cafunfo|Cafunfo|Cafunfo|Cafunfo|Angola|Angola|-8.783611|-8.783611|17.989722|17.989722||
Cienfuegos|Cienfuegos|Cienfuegos|Cienfuegos|Cuba|Cuba|22.150000|22.150000|-80.414167|-80.414167|31|31
Clifton Hills|Clifton Hills|Clifton Hills|Clifton Hills|Australia|Australia|-27.015000|-27.015000|138.892222|138.892222|36|36
Camfield|Camfield|Camfield|Camfield|Australia|Australia|-17.019722|-17.019722|131.329722|131.329722|131|131
Chefornak|Chefornak|Chefornak, AK|Chefornak, AK|United States|United States|60.149226|60.149226|-164.285632|-164.285632|12|12
Donegal|Donegal|Carrickfinn|Carrickfinn|Ireland|Ireland|55.044192|55.044192|-8.341000|-8.341000|9|9
Confreza|Confreza|Confreza|Confreza|Brazil|Brazil|-10.634444|-10.634444|-51.563611|-51.563611||
Carpentaria Downs|Carpentaria Downs|Carpentaria Downs|Carpentaria Downs|Australia|Australia|-18.717778|-18.717778|144.312500|144.312500|457|457
Creston Valley Airport|Creston Valley Airport|Creston|Creston|Canada|Canada|49.036944444444|49.036944444444|-116.49833333333|-116.49833333333|631|631
Carpiquet|Carpiquet|Caen|Caen|France|France|49.173281|49.173281|-0.449875|-0.449875|78|78
Coffs Harbour|Coffs Harbour|Coffs Harbour|Coffs Harbour|Australia|Australia|-30.320556|-30.320556|153.116389|153.116389|5|5
Morenci|Morenci|Clifton|Clifton|United States|United States|32.957039|32.957039|-109.211162|-109.211162|1158|1158
Ioannis Kapodistrias|Ioannis Kapodistrias|Kerkyra|Kerkyra|Greece|Greece|39.601944|39.601944|19.911667|19.911667|2|2
Municipal|Municipal|Coffeyville|Coffeyville|United States|United States|37.094048|37.094048|-95.571894|-95.571894|230|230
Craig SPB|Craig SPB|Craig|Craig|United States|United States|55.478831|55.478831|-133.147800|-133.147800|0|0
Intl. Airpt. Marechal Rondon|Intl. Airpt. Marechal Rondon|Cuiaba|Cuiaba|Brazil|Brazil|-15.652931|-15.652931|-56.116719|-56.116719|188|188
Cape Gloucester|Cape Gloucester|Cape Gloucester|Cape Gloucester|Papua New Guinea|Papua New Guinea|-5.450|-5.450|148.417|148.417|24|24
Changde|Changde|Changde|Changde|China|China|28.918889|28.918889|111.640278|111.640278||
Cambridge|Cambridge|Cambridge|Cambridge|United States|United States|38.539333|38.539333|-76.030389|-76.030389|6|6
Cuyahoga County|Cuyahoga County|Cleveland|Cleveland|United States|United States|41.565111|41.565111|-81.486361|-81.486361|268|268
Casiguran|Casiguran|Casiguran|Casiguran|Philippines|Philippines|0|0|0|0||
Congonhas|Congonhas|Sao Paulo|Sao Paulo|Brazil|Brazil|-23.626692|-23.626692|-46.655375|-46.655375|802|802
Cape Girardeau|Cape Girardeau|Cape Girardeau|Cape Girardeau|United States|United States|37.225317|37.225317|-89.570752|-89.570752|104|104
Chingola|Chingola|Chingola|Chingola|Zambia|Zambia|-12.547|-12.547|27.855|27.855||
Mambajao|Mambajao|Camiguin|Camiguin|Philippines|Philippines|9.253525|9.253525|124.707075|124.707075|16|16
Cologne/bonn|Cologne/bonn|Cologne|Cologne|Germany|Germany|50.866|50.866|7.143|7.143|92|92
Zhengzhou|Zhengzhou|Zhengzhou|Zhengzhou|China|China|34.519672|34.519672|113.840889|113.840889|151|151
Patenga|Patenga|Chittagong|Chittagong|Bangladesh|Bangladesh|22.249611|22.249611|91.813286|91.813286|4|4
Changchun|Changchun|Changchun|Changchun|China|China|43.996214|43.996214|125.685356|125.685356|215|215
Intl. Airport Campo Grande|Intl. Airport Campo Grande|Campo Grande|Campo Grande|Brazil|Brazil|-20.468667|-20.468667|-54.672500|-54.672500|559|559
College Park|College Park|College Park|College Park|United States|United States|38.980583|38.980583|-76.922306|-76.922306|15|15
Chinguitti|Chinguitti|Chinguitti|Chinguitti|Mauritania|Mauritania|20.483|20.483|-12.383|-12.383|350|350
Ciudad Guayana|Ciudad Guayana|Ciudad Guayana|Ciudad Guayana|Venezuela|Venezuela|8.300|8.300|-62.733|-62.733|144|144
Caiguna|Caiguna|Caiguna|Caiguna|Australia|Australia|-32.280555|-32.280555|125.477222|125.477222||
Merrill C Meigs (closed)|Merrill C Meigs (closed)|Chicago|Chicago|United States|United States|41.858888888889|41.858888888889|-87.608333333333|-87.608333333333|181|181
Cagayan De Oro Domestic Airport|Cagayan De Oro Domestic Airport|Cagayan De Oro|Cagayan De Oro|Philippines|Philippines|8.415619|8.415619|124.611219|124.611219|183|183
Municipal|Municipal|Casa Grande|Casa Grande|United States|United States|32.954889|32.954889|-111.766833|-111.766833|446|446
Lovell Field|Lovell Field|Chattanooga,TN|Chattanooga,TN|United States|United States|35.035194|35.035194|-85.203556|-85.203556|208|208
Chilas|Chilas|Chilas|Chilas|Pakistan|Pakistan|35.426666|35.426666|74.081665|74.081665|1264|1264
Christchurch International|Christchurch International|Christchurch|Christchurch|New Zealand|New Zealand|-43.489444|-43.489444|172.534444|172.534444|37|37
Williams Gateway Airport|Williams Gateway Airport|Mesa|Mesa|United States|United States|33.307777777778|33.307777777778|-111.65555555556|-111.65555555556|377|377
Reenroe|Reenroe|Caherciveen|Caherciveen|Ireland|Ireland|51.950|51.950|-10.217|-10.217||
Jinhae|Jinhae|Jinhae|Jinhae|Korea (South)|Korea (South)|35.141175|35.141175|128.695792|128.695792|2|2
Chaoyang Airport|Chaoyang Airport|Chaoyang|Chaoyang|China|China|41.538056|41.538056|120.435000|120.435000||
Chachapoyas|Chachapoyas|Chachapoyas|Chachapoyas|Peru|Peru|-6.201806|-6.201806|-77.856064|-77.856064|2540|2540
Chicago FSS|Chicago FSS|Chicago|Chicago|United States|United States|41.883|41.883|-87.631|-87.631|203|203
Chipinge|Chipinge|Chipinge|Chipinge|Zimbabwe|Zimbabwe|-20.206667|-20.206667|32.628332|32.628332|1134|1134
Municipal|Municipal|Chickasha|Chickasha|United States|United States|35.097361|35.097361|-97.967694|-97.967694|351|351
Challis|Challis|Challis|Challis|United States|United States|44.523583|44.523583|-114.217917|-114.217917|1546|1546
Chimbote|Chimbote|Chimbote|Chimbote|Peru|Peru|-9.149614|-9.149614|-78.523850|-78.523850|21|21
Jeonju|Jeonju|Jeonju|Jeonju|Korea (South)|Korea (South)|35.878436|35.878436|127.119550|127.119550|29|29
Albemarle|Albemarle|Charlottesville|Charlottesville|United States|United States|38.138639|38.138639|-78.452861|-78.452861|195|195
Circle Hot Springs|Circle Hot Springs|Circle Hot Springs|Circle Hot Springs|United States|United States|65.485472|65.485472|-144.610784|-144.610784|291|291
Souda|Souda|Chania|Chania|Greece|Greece|35.531747|35.531747|24.149678|24.149678|149|149
Chateauroux|Chateauroux|Chateauroux|Chateauroux|France|France|46.860278|46.860278|1.721111|1.721111|161|161
Charleston,  AFB Municipal|Charleston,  AFB Municipal|Charleston, SC|Charleston, SC|United States|United States|32.898639|32.898639|-80.040528|-80.040528|14|14
Karewa|Karewa|Chatham Island|Chatham Island|New Zealand|New Zealand|-43.809999|-43.809999|-176.457222|-176.457222|13|13
Chuathbaluk|Chuathbaluk|Chuathbaluk|Chuathbaluk|United States|United States|61.579056|61.579056|-159.215639|-159.215639|74|74
Chaves|Chaves|Chaves|Chaves|Portugal|Portugal|41.725834|41.725834|-7.465556|-7.465556|360|360
Jiuhuang|Jiuhuang|Jiuquan|Jiuquan|China|China|39.856944|39.856944|98.341389|98.341389||
Changuinola|Changuinola|Changuinola|Changuinola|Panama|Panama|9.458636|9.458636|-82.516806|-82.516806|6|6
Choiseul Bay|Choiseul Bay|Choiseul Bay|Choiseul Bay|Solomon Islands|Solomon Islands|-6.711944|-6.711944|156.396111|156.396111|2|2
State|State|Chiloquin|Chiloquin|United States|United States|42.583192|42.583192|-121.876126|-121.876126|1285|1285
Ciampino|Ciampino|Rome|Rome|Italy|Italy|41.799361|41.799361|12.594936|12.594936|130|130
Ap In The Sky|Ap In The Sky|Catalina Island|Catalina Island|United States|United States|33.404997|33.404997|-118.415769|-118.415769|488|488
Chico|Chico|Chico|Chico|United States|United States|39.795389|39.795389|-121.858417|-121.858417|73|73
Cedar Rapids|Cedar Rapids|Cedar Rapids|Cedar Rapids|United States|United States|41.885085|41.885085|-91.712288|-91.712288|265|265
Collie|Collie|Collie|Collie|Australia|Australia|-33.359721|-33.359721|116.201667|116.201667|244|244
Chifeng|Chifeng|Chifeng|Chifeng|China|China|42.235000|42.235000|118.908333|118.908333||
Craig-Moffat|Craig-Moffat|Craig|Craig|United States|United States|40.495221|40.495221|-107.521647|-107.521647|1888|1888
Changzhi|Changzhi|Changzhi|Changzhi|China|China|36.247500|36.247500|113.125833|113.125833||
E. Beltram|E. Beltram|Cobija|Cobija|Brazil|Brazil|-11.040436|-11.040436|-68.782972|-68.782972|272|272
Chalkyitsik|Chalkyitsik|Chalkyitsik|Chalkyitsik|United States|United States|66.645022|66.645022|-143.739930|-143.739930|166|166
Melsing Creek|Melsing Creek|Council|Council|United States|United States|64.897882|64.897882|-163.703447|-163.703447|26|26
Cimitarra|Cimitarra|Cimitarra|Cimitarra|Colombia|Colombia|6.367|6.367|-73.967|-73.967|226|226
Carroll|Carroll|Carroll|Carroll|United States|United States|42.046194|42.046194|-94.789000|-94.789000|367|367
MCAL Lopez|MCAL Lopez|Concepcion|Concepcion|Colombia|Colombia|4.0666666666667|4.0666666666667|-73.733333333333|-73.733333333333||
Chipata|Chipata|Chipata|Chipata|Zambia|Zambia|-13.560278|-13.560278|32.587778|32.587778|1024|1024
Chiquimula|Chiquimula|Chiquimula|Chiquimula|Guatemala|Guatemala|14.817|14.817|-89.517|-89.517|342|342
Cairo|Cairo|Cairo|Cairo|United States|United States|37.064472|37.064472|-89.219611|-89.219611|98|98
Canton Island|Canton Island|Canton Island|Canton Island|Kiribati|Kiribati|-2.768122|-2.768122|-171.710394|-171.710394|3|3
Shimkent|Shimkent|Shimkent|Shimkent|Kazakhstan|Kazakhstan|42.364167|42.364167|69.478889|69.478889|422|422
Chippewa County|Chippewa County|Sault Ste Marie|Sault Ste Marie|United States|United States|46.250750|46.250750|-84.472389|-84.472389|244|244
Chomley|Chomley|Chomley|Chomley|United States|United States|55.216666666667|55.216666666667|-132.21666666667|-132.21666666667||
Canouan Island|Canouan Island|Canouan Island|Canouan Island|Saint Vincent and the Grenadines|Saint Vincent and the Grenadines|12.699167|12.699167|-61.342500|-61.342500|3|3
Cornel Ruiz|Cornel Ruiz|Chiclayo|Chiclayo|Peru|Peru|-6.787475|-6.787475|-79.828097|-79.828097|30|30
Comiso|Comiso|Comiso|Comiso|Italy|Italy|36.995278|36.995278|14.608056|14.608056|189|189
Coari|Coari|Coari|Coari|Brazil|Brazil|-4.134056|-4.134056|-63.132556|-63.132556|40|40
Cajamarca|Cajamarca|Cajamarca|Cajamarca|Peru|Peru|-7.139183|-7.139183|-78.489400|-78.489400|2676|2676
Peelamedu|Peelamedu|Coimbatore|Coimbatore|India|India|11.030031|11.030031|77.043383|77.043383|404|404
El Loa|El Loa|Calama|Calama|Chile|Chile|-22.498175|-22.498175|-68.903575|-68.903575|2299|2299
Candilejas|Candilejas|Candilejas|Candilejas|Colombia|Colombia|1.333|1.333|-74.267|-74.267|305|305
Chilko Lake|Chilko Lake|Chilko Lake|Chilko Lake|United Kingdom|United Kingdom|51.626106|51.626106|-124.141945|-124.141945||
Ciudad Real - Don Quijote Airport|Ciudad Real - Don Quijote Airport|Ciudad Real|Ciudad Real|Spain|Spain|24.033333333333|24.033333333333|-54.1|-54.1|914|914
Cheongju|Cheongju|Cheongju|Cheongju|Korea (South)|Korea (South)|36.716600|36.716600|127.499119|127.499119|58|58
Chitral|Chitral|Chitral|Chitral|Pakistan|Pakistan|35.886592|35.886592|71.800578|71.800578|1500|1500
Chumphon Airport|Chumphon Airport|Chumphon|Chumphon|Thailand|Thailand|10.711200|10.711200|99.361706|99.361706|5|5
Gillespie Field|Gillespie Field|San Diego/El Cajon, CA|San Diego/El Cajon, CA|United States|United States|32.826111111111|32.826111111111|-116.9725|-116.9725|118|118
Intl Abraham Gonzalez|Intl Abraham Gonzalez|Ciudad Juarez|Ciudad Juarez|Mexico|Mexico|31.636133|31.636133|-106.428667|-106.428667|1190|1190
Copalar|Copalar|Comitan|Comitan|Mexico|Mexico|16.176592|16.176592|-92.050356|-92.050356|1574|1574
Jeju Airport|Jeju Airport|Jeju|Jeju|Korea (South)|Korea (South)|33.511305|33.511305|126.493028|126.493028|36|36
Kegelman Af|Kegelman Af|Cherokee|Cherokee|Bahamas|Bahamas|36.750000|36.750000|-98.116667|-98.116667|366|366
Benedum|Benedum|Clarksburg|Clarksburg|United States|United States|39.296639|39.296639|-80.228083|-80.228083|371|371
Cherkassy|Cherkassy|Cherkassy|Cherkassy|Ukraine|Ukraine|49.415569|49.415569|31.995292|31.995292|114|114
Crooked Creek|Crooked Creek|Crooked Creek|Crooked Creek|United States|United States|61.867861|61.867861|-158.134917|-158.134917|54|54
Clear Lake|Clear Lake|Clear Lake|Clear Lake|United States|United States|39.002952|39.002952|-122.796935|-122.796935|404|404
